name,slug,category,sub_category,movement_pattern,is_compound,is_unilateral,gender_suitability,min_age,max_age,min_fitness_level,max_fitness_level,primary_goals,secondary_goals,default_sets,default_reps_min,default_reps_max,default_duration_sec,default_rest_sec,met_value,ai_tags
Incline Push-up,incline_pushup,strength,upper_push,push,true,false,all,12,85,sedentary,intermediate,"muscle_toning|general_fitness","rehabilitation",3,8,15,,45,3.0,"push|chest|beginner|rehab|home_workout|no_equipment|low_impact"
Decline Push-up,decline_pushup,strength,upper_push,push,true,false,all,14,65,intermediate,elite,"muscle_gain|muscle_toning",,3,8,15,,60,4.5,"push|chest|upper_chest|home_workout|no_equipment|advanced_variation"
Diamond Push-up,diamond_pushup,strength,upper_push,push,false,false,all,14,65,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",3,6,12,,60,4.2,"triceps|push|narrow_grip|home_workout|no_equipment"
Wide-Grip Push-up,wide_pushup,strength,upper_push,push,true,false,all,14,75,beginner,advanced,"muscle_toning|general_fitness",,3,8,15,,45,3.8,"chest|push|wide_grip|home_workout|no_equipment"
Pike Push-up,pike_pushup,strength,upper_push,push,true,false,all,14,65,intermediate,elite,"muscle_gain|muscle_toning",,3,6,12,,60,4.0,"shoulders|push|overhead_strength|home_workout|no_equipment"
Wall Push-up,wall_pushup,strength,upper_push,push,true,false,all,12,90,sedentary,beginner,"rehabilitation|general_fitness","muscle_toning",2,10,20,,30,2.5,"push|rehab|elderly_friendly|low_impact|no_equipment|office_friendly|pregnancy_safe"
Dumbbell Bench Press,db_bench_press,strength,upper_push,push,true,false,all,16,70,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",4,8,12,,75,5.0,"chest|push|dumbbells|gym|home"
Dumbbell Shoulder Press,db_shoulder_press,strength,upper_push,push,true,false,all,16,70,intermediate,elite,"muscle_gain|muscle_toning","general_fitness",3,8,12,,60,4.5,"shoulders|push|overhead|dumbbells|gym|home"
Dumbbell Lateral Raise,db_lateral_raise,strength,upper_push,rotate,false,false,all,16,70,beginner,elite,"muscle_toning","muscle_gain",3,10,15,,45,3.5,"shoulders|deltoids|lateral_head|dumbbells|isolation|gym|home"
Dumbbell Front Raise,db_front_raise,strength,upper_push,push,false,false,all,16,70,beginner,elite,"muscle_toning","muscle_gain",3,10,15,,45,3.2,"shoulders|front_deltoid|dumbbells|isolation|gym|home"
