exercise_slug,condition_slug,severity,reason,modification_tips
incline_pushup,shoulder_impingement,caution,Horizontal push at incline reduces impingement risk vs flat,Use very high incline or wall push-up
incline_pushup,rotator_cuff_tear,relative,Reduced load vs flat but still stresses rotator cuff,Physician clearance required
decline_pushup,shoulder_impingement,absolute,Decline increases shoulder impingement angle,Replace with flat or incline push-up
decline_pushup,rotator_cuff_tear,absolute,High rotator cuff load in decline position,Avoid entirely
decline_pushup,lower_back_pain,relative,Extended prone position with spinal load,Ensure neutral spine; reduce if pain occurs
diamond_pushup,shoulder_impingement,absolute,Narrow grip creates high impingement risk,Replace with wide push-up or band press
diamond_pushup,lateral_epicondylitis,caution,Elbow load in narrow grip position,Reduce volume; avoid if elbow pain occurs
diamond_pushup,rotator_cuff_tear,absolute,High rotator cuff load,Avoid entirely
pike_pushup,shoulder_impingement,absolute,Overhead pushing directly stresses impinged tissue,Replace with lateral raises or band work
pike_pushup,rotator_cuff_tear,absolute,High overhead rotator cuff load,Avoid entirely
wall_pushup,pregnancy_t3,caution,Safe in general but avoid if uncomfortable,Use chair or table at higher incline
db_bench_press,shoulder_impingement,relative,Horizontal push; less risky than barbell,Use neutral grip dumbbells; reduce range of motion
db_bench_press,rotator_cuff_tear,absolute,Significant load on damaged tissue,Avoid
db_bench_press,pregnancy_t2,relative,Supine position may cause vena cava compression,Elevate upper body on incline bench
db_bench_press,pregnancy_t3,absolute,Supine position contraindicated after 20 weeks,Replace with incline or standing press
db_shoulder_press,shoulder_impingement,relative,Overhead pressing impinges subacute space,Replace with lateral raises or low cable work
db_shoulder_press,rotator_cuff_tear,absolute,Direct overhead load on damaged tissue,Avoid
db_shoulder_press,hypertension,caution,Overhead pressing raises blood pressure significantly,Reduce weight; monitor BP
db_lateral_raise,shoulder_impingement,relative,Lateral elevation through impingement zone,Keep elbows slightly bent; reduce range
db_lateral_raise,rotator_cuff_tear,relative,Load through lateral chain of rotator cuff,Use very light weight; physician clearance
bb_bench_press,shoulder_impingement,absolute,Fixed bar path limits shoulder positioning,Replace with dumbbell press
bb_bench_press,rotator_cuff_tear,absolute,High load on damaged rotator cuff,Avoid entirely
bb_bench_press,pregnancy_t2,absolute,Supine position risks,Replace with machine or incline press
bb_bench_press,pregnancy_t3,absolute,Supine position contraindicated,Avoid entirely
bb_ohp,shoulder_impingement,absolute,Direct overhead pressing maximally stresses impingement,Replace with dumbbell or seated press
bb_ohp,rotator_cuff_tear,absolute,Highest risk overhead exercise,Avoid entirely
bb_ohp,lower_back_pain,relative,Axial spinal load while standing,Perform seated; brace core
